Batch 453 loss: 98331.601562
Batch 454 loss: 231909.718750
Batch 455 loss: 227984.296875
Batch 456 loss: 98113.148438
Batch 457 loss: 294584.500000
Batch 458 loss: 395207.500000
Batch 459 loss: 2203558.000000
Batch 460 loss: 209071.046875
Batch 461 loss: 1454940.375000
Batch 462 loss: 186838.250000
Batch 463 loss: 183632.937500
Batch 464 loss: 54006.875000
Batch 465 loss: 112669.687500
Batch 466 loss: 161815.812500
Batch 467 loss: 548584.812500
Batch 468 loss: 136082.593750
Batch 469 loss: 176774.953125
Batch 470 loss: 1473713.250000
Batch 471 loss: 197455.875000
Batch 472 loss: 1667440.750000
Batch 473 loss: 1931625.375000
Batch 474 loss: 81606.312500
Batch 475 loss: 124504.523438
Batch 476 loss: 208203.234375
Batch 477 loss: 1387158.000000
Batch 478 loss: 1518367.875000
Batch 479 loss: 211298.656250
Batch 480 loss: 59334.792969
Batch 481 loss: 99244.203125
Batch 482 loss: 321634.812500
Batch 483 loss: 1750677.375000
Batch 484 loss: 189608.843750
Batch 485 loss: 288985.875000
Batch 486 loss: 189666.687500
Batch 487 loss: 234112.906250
Batch 488 loss: 64744.312500
Batch 489 loss: 199487.812500
Batch 490 loss: 155811.796875
Batch 491 loss: 28017.640625
Batch 492 loss: 40347.460938
Batch 493 loss: 1218060.625000
Batch 494 loss: 140588.281250
Batch 495 loss: 128060.250000
Batch 496 loss: 278409.406250
Batch 497 loss: 89713.804688
Batch 498 loss: 294422.906250
Batch 499 loss: 241182.828125
Batch 500 loss: 1257636.250000
Batch 501 loss: 535717.375000
Batch 502 loss: 67313.023438
Batch 503 loss: 321173.500000
Batch 504 loss: 63048.289062
Batch 505 loss: 63239.386719
Batch 506 loss: 152267.718750
Batch 507 loss: 154884.171875
Batch 508 loss: 7120.963867
Batch 509 loss: 105072.187500
Batch 510 loss: 178381.437500
Batch 511 loss: 319457.781250
Batch 512 loss: 90667.296875
Batch 513 loss: 234481.906250
Batch 514 loss: 134804.093750
Batch 515 loss: 466383.062500
Batch 516 loss: 89510.945312
Batch 517 loss: 240113.406250
Batch 518 loss: 70862.742188
Batch 519 loss: 313777.406250
Batch 520 loss: 153787.031250
Batch 521 loss: 168974.093750
Batch 522 loss: 115986.046875
Batch 523 loss: 166079.781250
Batch 524 loss: 113119.812500
Batch 525 loss: 10160.936523
Batch 526 loss: 103262.203125
Batch 527 loss: 172262.109375
Batch 528 loss: 132402.031250
Batch 529 loss: 128162.453125
Batch 530 loss: 114689.640625
Batch 531 loss: 138868.406250
Batch 532 loss: 182572.250000
Batch 533 loss: 316517.750000
Batch 534 loss: 110026.523438
Batch 535 loss: 134376.484375
Batch 536 loss: 1608382.375000
Batch 537 loss: 67287.242188
Batch 538 loss: 51843.363281
Batch 539 loss: 212598.328125
Batch 540 loss: 199585.656250
Batch 541 loss: 488663.593750
Batch 542 loss: 242220.093750
Batch 543 loss: 102398.789062
Batch 544 loss: 300925.281250
Batch 545 loss: 99889.031250
Batch 546 loss: 101072.093750
Batch 547 loss: 120613.359375
Batch 548 loss: 126324.875000
Batch 549 loss: 157251.921875
Batch 550 loss: 288280.187500
Batch 551 loss: 150180.843750
Batch 552 loss: 83303.843750
Batch 553 loss: 103051.515625
Batch 554 loss: 302785.812500
Batch 555 loss: 1090263.750000
Batch 556 loss: 77196.171875
